antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
DIST1_veryclose,DIST2_q1,0.81402,1.0,0.81402,1.0,1.0,1.0,0.0,inf,0.0,0.81402,0.0,0.90701
DIST2_q1,DIST1_veryclose,1.0,0.81402,0.81402,0.81402,1.0,1.0,0.0,1.0,0.0,0.81402,0.0,0.90701
DEVICE_info_Unknown,DIST2_q1,0.79936,1.0,0.79936,1.0,1.0,1.0,0.0,inf,0.0,0.79936,0.0,0.89968
DIST2_q1,DEVICE_info_Unknown,1.0,0.79936,0.79936,0.79936,1.0,1.0,0.0,1.0,0.0,0.79936,0.0,0.89968
DEVICE_info_Unknown,DIST1_veryclose,0.79936,0.81402,0.61338,0.7673388710968776,0.9426535847975205,1.0,-0.037315027199999906,0.7993600000000005,-0.232661128903122,0.6133800000000001,-0.25100080064051167,0.7604292203203118
DIST1_veryclose,DEVICE_info_Unknown,0.81402,0.79936,0.61338,0.7535195695437459,0.9426535847975204,1.0,-0.037315027199999906,0.8140200000000003,-0.24648043045625365,0.6133800000000001,-0.22847104493747045,0.7604292203203118
"DEVICE_info_Unknown, DIST1_veryclose",DIST2_q1,0.61338,1.0,0.61338,1.0,1.0,1.0,0.0,inf,0.0,0.61338,0.0,0.80669
"DIST1_veryclose, DIST2_q1",DEVICE_info_Unknown,0.81402,0.79936,0.61338,0.7535195695437459,0.9426535847975204,1.0,-0.037315027199999906,0.8140200000000003,-0.24648043045625365,0.6133800000000001,-0.22847104493747045,0.7604292203203118
"DEVICE_info_Unknown, DIST2_q1",DIST1_veryclose,0.79936,0.81402,0.61338,0.7673388710968776,0.9426535847975205,1.0,-0.037315027199999906,0.7993600000000005,-0.232661128903122,0.6133800000000001,-0.25100080064051167,0.7604292203203118
DIST1_veryclose,"DEVICE_info_Unknown, DIST2_q1",0.81402,0.79936,0.61338,0.7535195695437459,0.9426535847975204,1.0,-0.037315027199999906,0.8140200000000003,-0.24648043045625365,0.6133800000000001,-0.22847104493747045,0.7604292203203118
DEVICE_info_Unknown,"DIST1_veryclose, DIST2_q1",0.79936,0.81402,0.61338,0.7673388710968776,0.9426535847975205,1.0,-0.037315027199999906,0.7993600000000005,-0.232661128903122,0.6133800000000001,-0.25100080064051167,0.7604292203203118
DIST2_q1,"DEVICE_info_Unknown, DIST1_veryclose",1.0,0.61338,0.61338,0.61338,1.0,1.0,0.0,1.0,0.0,0.61338,0.0,0.80669
DEVICE_type_Unknown,DIST2_q1,0.76096,1.0,0.76096,1.0,1.0,1.0,0.0,inf,0.0,0.7609600000000001,0.0,0.8804799999999999
DIST2_q1,DEVICE_type_Unknown,1.0,0.76096,0.76096,0.76096,1.0,1.0,0.0,1.0,0.0,0.7609600000000001,0.0,0.8804799999999999
DEVICE_type_Unknown,DEVICE_info_Unknown,0.76096,0.79936,0.76092,0.9999474348191759,1.2509350415572158,1.0,0.15263901440000005,3816.975360010144,0.8391816402620066,0.9518638979234427,0.9997380124560203,0.9759294820212774
